Date,Open,High,Low,Close,Volume
2025-09-29 00:00:00+05:30,152.77000427246094,163.0,146.0,151.63999938964844,1243
2025-09-30 00:00:00+05:30,153.39999389648438,166.6999969482422,140.0,158.0,1380
2025-10-01 00:00:00+05:30,150.0,162.89999389648438,150.0,157.55999755859375,773
2025-10-03 00:00:00+05:30,173.30999755859375,173.30999755859375,155.0,157.7899932861328,1432
2025-10-06 00:00:00+05:30,173.0,173.0,148.0,158.0800018310547,725
2025-10-07 00:00:00+05:30,155.0,156.60000610351562,155.0,156.10000610351562,87
2025-10-08 00:00:00+05:30,151.64999389648438,167.9499969482422,145.0,153.52999877929688,993
2025-10-09 00:00:00+05:30,145.10000610351562,155.25,145.10000610351562,150.0,59
2025-10-10 00:00:00+05:30,151.11000061035156,155.0,151.0,151.72000122070312,98
2025-10-13 00:00:00+05:30,150.97000122070312,155.39999389648438,150.97000122070312,150.97000122070312,92
2025-10-14 00:00:00+05:30,152.0,155.39999389648438,152.0,155.3699951171875,244
2025-10-15 00:00:00+05:30,184.0,186.44000244140625,171.10000610351562,186.44000244140625,11495
2025-10-16 00:00:00+05:30,220.0,223.72000122070312,195.89999389648438,223.72000122070312,34755
2025-10-17 00:00:00+05:30,246.08999633789062,246.08999633789062,211.10000610351562,223.5500030517578,113145
2025-10-20 00:00:00+05:30,222.0,222.0,201.19000244140625,202.30999755859375,14839
2025-10-21 00:00:00+05:30,195.4499969482422,222.5399932861328,195.4499969482422,220.8300018310547,13711
2025-10-23 00:00:00+05:30,229.0,229.89999389648438,210.0,219.5500030517578,1738
2025-10-24 00:00:00+05:30,223.94000244140625,223.94000244140625,208.57000732421875,208.57000732421875,1127
