ticker,company_name,listing_date,listing_price,current_price,num_shares,invested_amount,current_value,absolute_return,return_pct,days_held,years_held,cagr,xirr,status
ARSSBL,ARSSBL,2025-09-30,432.0,651.5,34.72222222222222,15000,22621.527777777777,7621.527777777777,50.81018518518518,44,0.12046543463381246,2928.1497611593736,2928.1497611593736,PROFIT
ADVANCE,ADVANCE,2025-10-08,114.0,142.13999938964844,131.57894736842104,15000,18702.63149863795,3702.631498637951,24.684209990919676,36,0.09856262833675565,837.7500226845198,837.75002268452,PROFIT
AHCL,AHCL,2025-09-03,92.0,141.39999389648438,163.04347826086956,15000,23054.34683094854,8054.34683094854,53.69564553965694,71,0.1943874058863792,812.5474101917305,812.5474101917285,PROFIT
ATLANTAELE,ATLANTAELE,2025-09-29,857.0,1011.2999877929688,17.50291715285881,15000,17700.699903027456,2700.6999030274565,18.004666020183045,45,0.12320328542094455,283.3378284201053,283.3378284201053,PROFIT
BHARATSE,Bharat Seats Limited,2025-03-24,79.20448268268414,186.4600067138672,189.3832203928949,15000,35312.39654595297,20312.39654595297,135.4159769730198,234,0.6406570841889117,280.53775839866813,280.53775839494364,PROFIT
ATHERENERG,Ather Energy Limited,2025-05-06,328.0,628.5499877929688,45.73170731707317,15000,28744.664075897963,13744.664075897963,91.63109383931976,191,0.5229295003422314,246.8651964518795,246.86519645186235,PROFIT
ARFIN,Arfin India Limited,2025-07-22,41.900001525878906,57.58000183105469,357.99521369314215,15000,20613.36505995994,5613.365059959939,37.422433733066256,114,0.31211498973305957,176.90410763333543,176.90410763301819,PROFIT
BELRISE,BELRISE,2025-05-28,99.61998708618701,154.55999755859375,150.57219378097923,15000,23272.437903180256,8272.437903180256,55.14958602120171,169,0.46269678302532513,158.37968771800982,158.37968771723627,PROFIT
ACUTAAS,Acutaas Chemicals Limited,2025-06-02,1168.8099202944363,1706.5999755859375,12.833566638638155,15000,21901.764512180376,6901.764512180376,46.01176341453584,164,0.4490075290896646,132.3345433389576,132.33454333893718,PROFIT
AGIIL,AGI Infra Limited,2024-07-15,91.34352070635417,254.25,164.21525997690767,15000,41751.72984912877,26751.729849128773,178.3448656608585,486,1.3305954825462012,115.83580739992287,115.83580739992199,PROFIT
AIIL,Authum Investment & Infrastructure Limited,2024-04-23,854.2444378897442,2798.0,17.559376841896423,15000,49131.136403626195,34131.136403626195,227.54090935750796,569,1.5578370978781657,114.16920093801775,114.16920093799756,PROFIT
ANANDRATHI,Anand Rathi Wealth Limited,2021-12-14,286.6848700062536,3097.699951171875,52.32225893076533,15000,162078.65893503395,147078.65893503395,980.5243929002263,1430,3.915126625598905,83.65827867117561,83.6582786707662,PROFIT
BHARTIHEXA,BHARTIHEXA,2024-04-12,748.1994452277194,1800.9000244140625,20.048130342350966,15000,36104.67842299616,21104.678422996163,140.69785615330775,580,1.5879534565366187,73.87167715792114,73.87167715764573,PROFIT
ABCOTS,ABCOTS,2022-01-25,54.95000076293945,405.79998779296875,272.97542842104235,15000,110773.4255210394,95773.4255210394,638.489503473596,1388,3.800136892539357,69.24016234917177,69.24016232682443,PROFIT
ABDL,ABDL,2024-07-02,317.353236029712,636.6500244140625,47.26594311014253,15000,30091.86383502593,15091.863835025932,100.61242556683953,499,1.3661875427789185,66.46196772948872,66.46196772948684,PROFIT
ANGELONE,Angel One Limited,2020-10-05,245.30527067809442,2679.5,61.148298846313736,15000,163846.86675869767,148846.86675869767,992.3124450579845,1865,5.106091718001369,59.71824521261997,59.71824521261547,PROFIT
AEGISVOPAK,AEGISVOPAK,2025-06-02,220.0,270.6499938964844,68.18181818181819,15000,18453.4086747603,3453.4086747602996,23.022724498402,164,0.4490075290896646,58.63880333780456,58.63880333779602,PROFIT
BALUFORGE,Balu Forge Industries Limited,2024-04-29,305.86933048753684,612.5999755859375,49.04054936168633,15000,30042.23934169001,15042.239341690009,100.28159561126672,563,1.541409993155373,56.92481871201951,56.924818712019295,PROFIT
AZAD,AZAD,2023-12-28,720.0,1635.4000244140625,20.833333333333332,15000,34070.83384195963,19070.833841959633,127.1388922797309,686,1.8781656399726214,54.77537100195158,54.77537100194956,PROFIT
ARTEMISMED,Artemis Medicare Services Limited,2020-01-24,21.40916116204039,268.9800109863281,700.6346435747244,15000,188456.71412613144,173456.71412613144,1156.3780941742095,2120,5.804243668720055,54.65535331786258,54.655353317851386,PROFIT
ATALREAL,Atal Realtech Limited,2020-11-19,3.1566660404205322,24.850000381469727,4751.848883577717,15000,118083.44656959276,103083.44656959276,687.2229771306185,1820,4.982888432580425,51.29863297901378,51.298632977434686,PROFIT
BAJAJINDEF,BAJAJINDEF,2025-02-21,279.6562950347177,372.8500061035156,53.63726927061605,15000,19998.656174925105,4998.656174925105,33.3243744995007,265,0.7255304585900069,48.649370744684425,48.64937074467904,PROFIT
ABINFRA,ABINFRA,2019-07-30,1.9103016554726375,20.440000534057617,7852.163011547395,15000,160498.21614953622,145498.21614953622,969.9881076635747,2298,6.291581108829569,45.75119505716945,45.751195040221845,PROFIT
ANUP,The Anup Engineering Limited,2019-03-01,210.0139654250372,2417.5,71.42382159987417,15000,172667.08871769582,157667.08871769582,1051.1139247846388,2449,6.704996577686516,43.965306027896546,43.96530600466194,PROFIT
AFFLE,Affle 3i Limited,2019-08-08,185.1999969482422,1775.300048828125,80.99352185298387,15000,143787.8033003641,128787.80330036409,858.5853553357605,2289,6.26694045174538,43.42880097183057,43.42880096961241,PROFIT
ADOR,Ador Welding Limited,2025-04-07,822.2441514488719,1018.7000122070312,18.24275669649773,15000,18583.89646941214,3583.8964694121387,23.892643129414257,220,0.6023271731690623,42.717328319809944,42.71732831980983,PROFIT
AVALON,Avalon Technologies Limited,2023-04-18,436.0,1053.800048828125,34.403669724770644,15000,36254.58883582999,21254.588835829993,141.6972589055333,940,2.5735797399041753,40.904716133317635,40.904716133317514,PROFIT
AARTIPHARM,Aarti Pharmalabs Limited,2023-01-30,296.4467884935245,759.4500122070312,50.59930005053051,15000,38427.63904104263,23427.639041042632,156.18426027361753,1018,2.7871321013004793,40.147464672389276,40.147464672389,PROFIT
AGARWALEYE,AGARWALEYE,2025-02-04,402.0,511.1000061035156,37.3134328358209,15000,19070.89575013118,4070.8957501311816,27.139305000874543,282,0.7720739219712526,36.478603821939146,36.478603821939146,PROFIT
ARIHANTCAP,Arihant Capital Markets Limited,2021-06-15,25.279914765454823,98.0999984741211,593.3564309519588,15000,58208.2649709971,43208.2649709971,288.0550998066473,1612,4.413415468856948,35.96670595010612,35.96670595000439,PROFIT
AADHARHFC,AADHARHFC,2024-05-15,315.0,496.6000061035156,47.61904761904762,15000,23647.619338262648,8647.619338262648,57.65079558841766,547,1.4976043805612593,35.521522559530716,35.52152255952603,PROFIT
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,2021-10-18,73.98548241933636,251.22999572753906,202.74247743608277,15000,50934.99174005776,35934.99174005776,239.56661160038507,1487,4.071184120465435,35.02384059779595,35.02384059778822,PROFIT
BIKAJI,Bikaji Foods International Limited,2022-11-16,321.3074780135114,716.25,46.684254262420964,15000,33437.597115459015,18437.597115459015,122.91731410306011,1093,2.9924709103353866,30.71935966002357,30.71935965944196,PROFIT
